"","code","description","selectionOnly","type","startDate","endDate"
"437","1005","Dd Asia EAA",FALSE,"group",NA,NA
"438","1004","Dd Amer EAA",FALSE,"group",NA,NA
"439","1003","Dd Afric EAA",FALSE,"group",NA,NA
"440","203","Czechia",FALSE,"country",NA,NA
"441","200","Czechoslovak(-1992)",FALSE,"country",NA,NA
"442","1109","Czech F Area(1993-)",FALSE,"group",NA,NA
"443","196","Cyprus",FALSE,"country",NA,NA
"444","192","Cuba",FALSE,"country",NA,NA
"445","191","Croatia",FALSE,"country",NA,NA
"446","1069","COUNTRY LIST",FALSE,"group",NA,NA
"447","384","Côte d'Ivoire",FALSE,"country",NA,NA
"448","188","Costa Rica",FALSE,"country",NA,NA
"449","184","Cook Islands",FALSE,"country",NA,NA
"450","178","Congo",FALSE,"country",NA,NA
"451","174","Comoros",FALSE,"country",NA,NA
"452","981","COMESA",FALSE,"group",NA,NA
"453","170","Colombia",FALSE,"country",NA,NA
"454","166","Cocos Is",FALSE,"country",NA,NA
"455","1028","Cnt Am Carib",FALSE,"group",NA,NA
"456","989","CIS(1991-)",FALSE,"group",NA,NA
"457","979","CILSS",FALSE,"group",NA,NA
"458","162","Christmas Is",FALSE,"country",NA,NA
"459","158","China,Taiwan",FALSE,"country",NA,NA
"460","1248","China, Main",FALSE,"country",NA,NA
"461","446","China, Macao",FALSE,"country",NA,NA
"462","344","China,H.Kong",FALSE,"country",NA,NA
"463","1249","China (excl. Hong Kong and Macao)",FALSE,"country",NA,NA
"464","156","China",FALSE,"country",NA,NA
"465","152","Chile",FALSE,"country",NA,NA
"466","830","Channel Is",FALSE,"country",NA,NA
"467","148","Chad",FALSE,"country",NA,NA
"468","913","Central Amer",FALSE,"group",NA,NA
"469","140","Central African Republic",FALSE,"country",NA,NA
"470","925","CentAmer&Car",FALSE,"group",NA,NA
"471","910","Cent Africa",FALSE,"group",NA,NA
"472","1200","CEN-SAD",FALSE,"group",NA,NA
"473","1105","CEFTA",FALSE,"group",NA,NA
"474","1088","CBDCBDPLAP",FALSE,"group",NA,NA
"475","1089","CBDCBDNPLAP",FALSE,"group",NA,NA
"476","1076","CBDCBDCAP",FALSE,"group",NA,NA
"477","136","Cayman Islands",FALSE,"country",NA,NA
"478","1104","CARIFORUM",FALSE,"group",NA,NA
"479","961","CARICOM",FALSE,"group",NA,NA
"480","914","Caribbean",FALSE,"group",NA,NA
"481","132","Cabo Verde",FALSE,"country",NA,NA
"482","128","Canton Is",FALSE,"country",NA,NA
"483","124","Canada",FALSE,"country",NA,NA
"484","120","Cameroon",FALSE,"country",NA,NA
"485","116","Cambodia",FALSE,"country",NA,NA
"486","963","CAEU",FALSE,"group",NA,NA
"487","960","CACM",FALSE,"group",NA,NA
"488","1186","CACEU",FALSE,"group",NA,NA
"489","108","Burundi",FALSE,"country",NA,NA
"490","854","Burkina Faso",FALSE,"country",NA,NA
"491","100","Bulgaria",FALSE,"country",NA,NA
"492","1100","BSEC Dvng",FALSE,"group",NA,NA
"493","1150","BSEC",FALSE,"group",NA,NA
"494","96","Brunei Darussalam",FALSE,"country",NA,NA
"495","92","British Virgin Islands",FALSE,"country",NA,NA
"496","86","Br Ind Oc Tr",FALSE,"country",NA,NA
"497","76","Brazil",FALSE,"country",NA,NA
"498","74","Bouvet Is",FALSE,"country",NA,NA
"499","72","Botswana",FALSE,"country",NA,NA
"500","70","Bosnia and Herzegovina",FALSE,"country",NA,NA
"501","68","Bolivia (Plurinational State of)",FALSE,"country",NA,NA
"502","64","Bhutan",FALSE,"country",NA,NA
"503","60","Bermuda",FALSE,"country",NA,NA
"504","204","Benin",FALSE,"country",NA,NA
"505","58","Bel-Lux(-1999)",FALSE,"country",NA,NA
"506","84","Belize",FALSE,"country",NA,NA
"507","56","Belgium",FALSE,"country",NA,NA
"508","112","Belarus",FALSE,"country",NA,NA
"509","52","Barbados",FALSE,"country",NA,NA
"510","50","Bangladesh",FALSE,"country",NA,NA
"511","964","BANGKOK  Agr",FALSE,"group",NA,NA
"512","1094","Baltic Assem",FALSE,"group",NA,NA
"513","48","Bahrain",FALSE,"country",NA,NA
"514","44","Bahamas",FALSE,"country",NA,NA
"515","31","Azerbaijan",FALSE,"country",NA,NA
"516","40","Austria",FALSE,"country",NA,NA
"517","36","Australia",FALSE,"country",NA,NA
"518","1049","Aus/Nwzl,EAA",FALSE,"group",NA,NA
"519","1138","Asia Unal",FALSE,"group",NA,NA
"520","1121","Asia&Pacific",FALSE,"group",NA,NA
